category,state,jobs_retained,total_loan_amount
"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",NY,81,580921.00
Administration of Education Programs,WI,89,580810.00
Electric Power Distribution,NJ,41,580714.69
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",IL,54,580687.82
Coffee and Tea Manufacturing,NH,100,580685.45
Real Estate Credit,AL,70,580680.32
Automobile and Other Motor Vehicle Merchant Wholesalers,ID,63,580610.99
Travel Agencies,MS,165,580473.43
Tire Dealers,DE,75,580436.63
Rolled Steel Shape Manufacturing,IL,37,580396.00
Fish and Seafood Markets,MI,100,580395.95
Specialty (except Psychiatric and Substance Abuse) Hospitals,CO,43,580256.00
Electronics Stores,RI,51,580254.00
Sales Financing,SC,59,580105.28
Optical Goods Stores,NE,64,580097.00
Rubber and Plastics Hoses and Belting Manufacturing,OH,61,579970.50
Livestock Merchant Wholesalers,ID,360,579961.33
Other Animal Food Manufacturing,NY,60,579922.14
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),LA,38,579873.00
Consumer Lending,OH,104,579797.43
Specialty (except Psychiatric and Substance Abuse) Hospitals,MO,74,579592.71
Musical Groups and Artists,PR,123,579503.79
Apiculture,MT,81,579420.09
Men’s and Boys’ Cut and Sew Apparel Manufacturing,IL,59,579408.27
Ambulance Services,NH,83,579334.50
Other Support Activities for Road Transportation,NE,40,579325.69
Administration of General Economic Programs,FL,66,579163.35
Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,NC,55,579129.72
Welding and Soldering Equipment Manufacturing,ID,48,579110.00
Recreational Vehicle Dealers,MA,68,579101.50
Shellfish Fishing,NJ,51,579087.04
Taxi Service,NH,98,579070.00
Support Activities for Oil and Gas Operations,NE,54,579040.68
Fabricated Structural Metal Manufacturing,MT,56,578968.74
Office Equipment Merchant Wholesalers,IN,74,578818.00
Tobacco and Tobacco Product Merchant Wholesalers,NV,124,578720.00
Postharvest Crop Activities (except Cotton Ginning),OK,69,578717.00
Other Nonhazardous Waste Treatment and Disposal,GA,66,578665.94
Sheet Metal Work Manufacturing,ME,36,578655.20
Human Rights Organizations,WI,62,578598.00
Shellfish Fishing,TX,111,578531.22
Plastics Material and Resin Manufacturing,MN,50,578514.00
Upholstered Household Furniture Manufacturing,AZ,107,578440.00
Administration of General Economic Programs,MA,73,578287.62
"Independent Artists, Writers, and Performers",PR,172,578181.09
Other Performing Arts Companies,RI,138,578164.33
Theater Companies and Dinner Theaters,VT,68,577867.70
Apiculture,AZ,548,577842.55
Taxi Service,SC,129,577718.98
Locksmiths,MS,78,577645.17
Cutting Tool and Machine Tool Accessory Manufacturing,GA,46,577573.00
Direct Mail Advertising,MO,76,577514.13
Drafting Services,IL,42,577496.10
Religious Organizations,GU,245,577415.24
Commodity Contracts Brokerage,MO,69,577404.25
Other Electronic Component Manufacturing,GA,87,577393.00
Plastics Plumbing Fixture Manufacturing,TX,74,577333.55
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,CT,34,577327.22
New Multifamily Housing Construction (except For-Sale Builders),ND,87,577260.35
Office Supplies (except Paper) Manufacturing,IL,60,577119.50
Language Schools,MI,211,577112.00
Other Grocery and Related Products Merchant Wholesalers,IA,96,577102.72
Coffee and Tea Manufacturing,OK,96,576951.95
Employment Placement Agencies,DC,72,576883.27
Tobacco Manufacturing,CT,58,576837.00
Family Clothing Stores,NH,63,576711.90
Support Activities for Rail Transportation,NV,70,576656.00
Periodical Publishers,KY,73,576607.52
Manufactured (Mobile) Home Dealers,TN,68,576600.52
Wineries,VT,38,576569.00
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",PA,64,576458.55
Other Support Activities for Road Transportation,ID,67,576157.00
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",PA,84,576094.96
Children's and Infants' Clothing Stores,MA,126,576085.37
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,KY,74,576081.00
Audio and Video Equipment Manufacturing,KY,69,576057.10
Snack and Nonalcoholic Beverage Bars,WY,204,576027.90
"Frozen Cakes, Pies, and Other Pastries Manufacturing",MA,95,575883.55
Institutional Furniture Manufacturing,MI,46,575877.65
Apple Orchards,NC,99,575842.00
Wood Window and Door Manufacturing,MO,100,575787.70
Medicinal and Botanical Manufacturing,OH,44,575725.60
Materials Recovery Facilities,CO,55,575725.00
Locksmiths,HI,46,575540.00
Packaging and Labeling Services,AL,84,575520.51
Solar Electric Power Generation,GA,52,575484.07
Tire and Tube Merchant Wholesalers,CO,28,575447.33
"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",GA,44,575359.64
Zoos and Botanical Gardens,LA,123,575346.83
Printing and Writing Paper Merchant Wholesalers,MI,48,575279.10
Pharmaceutical Preparation Manufacturing,CT,45,575276.00
Direct Property and Casualty Insurance Carriers,NH,36,575168.00
Automobile and Other Motor Vehicle Merchant Wholesalers,NH,38,575121.40
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",MD,72,575108.19
"Trusts, Estates, and Agency Accounts",WA,39,575045.00
"Corporate, Subsidiary, and Regional Managing Offices",IA,37,575039.89
New Housing For-Sale Builders,DE,61,574922.52
Parking Lots and Garages,WA,55,574861.20
Refrigeration Equipment and Supplies Merchant Wholesalers,IL,60,574810.50
Cattle Feedlots,IN,64,574571.67
Family Clothing Stores,KY,124,574553.78
Administration of Education Programs,DC,47,574462.13
Sports Teams and Clubs,NV,149,574369.01
Truss Manufacturing,OK,95,574341.20
Automotive Transmission Repair,NE,120,574281.50
All Other Animal Production,MS,132,574222.07
General Rental Centers,WY,60,574219.00
Business Associations,ID,81,574198.63
Power and Communication Line and Related Structures Construction,CT,30,574162.00
"Other Foundation, Structure, and Building Exterior Contractors",RI,62,574145.00
Footwear Merchant Wholesalers,IL,96,574100.00
"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",OH,71,573895.00
Sporting and Athletic Goods Manufacturing,LA,105,573877.54
Plastics Material and Resin Manufacturing,VA,57,573865.70
Geophysical Surveying and Mapping Services,IL,53,573865.61
Other Nonscheduled Air Transportation,WA,117,573835.00
Other Support Activities for Road Transportation,AR,79,573668.27
Sugar Beet Farming,MI,75,573618.41
Vending Machine Operators,CT,66,573477.87
Floriculture Production,WI,135,573453.25
Farm Machinery and Equipment Manufacturing,MI,60,573444.27
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,CO,81,573245.00
All Other General Merchandise Stores,NM,87,573184.89
Machine Tool Manufacturing,WA,45,573105.20
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",NH,39,573078.83
Amusement and Theme Parks,IN,81,572989.00
Motor Vehicle Electrical and Electronic Equipment Manufacturing,FL,60,572955.00
Other Building Equipment Contractors,SD,69,572893.50
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",AL,88,572770.74
Other Millwork (including Flooring),NH,50,572758.75
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",WA,75,572755.50
Other Services Related to Advertising,AR,78,572702.33
Advertising Material Distribution Services,AZ,94,572659.24
Other Concrete Product Manufacturing,MA,44,572616.76
All Other Consumer Goods Rental,MS,101,572589.17
Children's and Infants' Clothing Stores,OH,166,572437.04
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",WI,51,572429.50
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",CO,99,572411.35
Confectionery and Nut Stores,TN,133,572300.17
Footwear Merchant Wholesalers,NC,46,572263.50
Amusement and Theme Parks,CT,178,572241.00
Framing Contractors,MT,78,572165.00
Advertising Material Distribution Services,AL,55,572146.08
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",MA,40,571992.00
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",TX,91,571983.00
"Environment, Conservation and Wildlife Organizations",IA,89,571946.47
Hog and Pig Farming,OK,102,571775.00
Musical Groups and Artists,DC,39,571689.67
Other Building Equipment Contractors,RI,57,571600.60
Farm Machinery and Equipment Manufacturing,TN,44,571584.67
"Cut Stock, Resawing Lumber, and Planing",TX,78,571567.67
"General Freight Trucking, Long-Distance, Less Than Truckload",OK,75,571541.29
All Other Travel Arrangement and Reservation Services,UT,86,571493.74
Direct Health and Medical Insurance Carriers,IA,57,571427.09
All Other Legal Services,NM,54,571423.11
Knit Fabric Mills,CA,75,571388.95
Plate Work Manufacturing,WA,63,571338.96
Oilseed and Grain Combination Farming,LA,77,571277.00
Other Grocery and Related Products Merchant Wholesalers,NE,79,571260.00
Petroleum Bulk Stations and Terminals,MO,80,571200.37
Other Animal Food Manufacturing,FL,72,571182.70
Grantmaking Foundations,ME,54,571150.00
Automobile Driving Schools,OK,157,571043.30
News Syndicates,NJ,64,570930.00
Offices of Podiatrists,WV,74,570866.44
"Trusts, Estates, and Agency Accounts",OK,52,570829.00
Administration of General Economic Programs,NC,55,570824.85
Meat Processed from Carcasses,FL,113,570794.65
Meat and Meat Product Merchant Wholesalers,NC,94,570783.50
Hardwood Veneer and Plywood Manufacturing,IN,64,570627.90
Horses and Other Equine Production,IN,100,570559.32
All Other Plastics Product Manufacturing,MS,80,570500.00
Geophysical Surveying and Mapping Services,SC,77,570488.92
Professional Organizations,NH,64,570391.00
"Trust, Fiduciary, and Custody Activities",WA,49,570260.50
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",MT,84,570232.60
Home Health Equipment Rental,IN,129,570219.00
Other Residential Care Facilities,KY,134,570151.12
Wood Office Furniture Manufacturing,MI,50,570067.50
Satellite Telecommunications,VA,17,570043.00
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,KS,49,569985.50
Offices of Podiatrists,DE,40,569942.07
Other Chemical and Allied Products Merchant Wholesalers,MN,116,569887.00
Home and Garden Equipment Repair and Maintenance,CT,56,569880.59
Industrial Sand Mining,MO,41,569764.50
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",AR,69,569663.17
Sales Financing,AR,99,569588.62
Document Preparation Services,OK,92,569586.50
Fresh Fruit and Vegetable Merchant Wholesalers,MO,88,569560.07
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",OK,88,569521.75
Ornamental and Architectural Metal Work Manufacturing,MD,57,569321.81
All Other Traveler Accommodation,WY,77,569281.69
Tobacco and Tobacco Product Merchant Wholesalers,OK,100,569235.50
Tobacco and Tobacco Product Merchant Wholesalers,MA,49,569127.00
Home Centers,NH,43,569076.00
Power and Communication Line and Related Structures Construction,WV,56,568992.50
Lessors of Miniwarehouses and Self-Storage Units,CT,76,568972.62
Metal Heat Treating,OK,53,568855.00
Berry (except Strawberry) Farming,MA,74,568813.91
Other Animal Food Manufacturing,NJ,63,568712.80
Local Messengers and Local Delivery,NH,81,568614.50
Other Concrete Product Manufacturing,OK,70,568532.30
All Other Miscellaneous Waste Management Services,NH,30,568524.47
Internet Publishing and Broadcasting and Web Search Portals,LA,48,568488.94
Historical Sites,FL,88,568482.00
Structural Steel and Precast Concrete Contractors,MS,73,568448.17
Support Activities for Printing,WI,59,568442.50
Other Aquaculture,MI,32,568441.97
Continuing Care Retirement Communities,VT,105,568425.00
Other Spectator Sports,OR,101,568406.27
All Other Legal Services,IA,53,568348.70
Theater Companies and Dinner Theaters,MT,139,568316.40
Geophysical Surveying and Mapping Services,MS,70,568235.00
Chicken Egg Production,AR,67,568170.95
Security Guards and Patrol Services,KY,174,568133.91
Dental Laboratories,KS,77,568086.67
Livestock Merchant Wholesalers,TN,185,568080.12
Packing and Crating,GA,54,568015.96
All Other Outpatient Care Centers,IA,74,568011.05
Environmental Consulting Services,AK,41,567939.81
Nail Salons,VT,65,567917.00
Other Waste Collection,OK,93,567899.00
Other Clothing Stores,ME,108,567840.38
Outdoor Power Equipment Stores,NE,67,567746.45
Nonscheduled Chartered Passenger Air Transportation,IL,43,567712.01
Welding and Soldering Equipment Manufacturing,VA,59,567695.10
Hazardous Waste Treatment and Disposal,FL,70,567482.80
Communication Equipment Repair and Maintenance,VA,32,567457.82
Bus and Other Motor Vehicle Transit Systems,CA,100,567177.82
Printing and Writing Paper Merchant Wholesalers,NC,58,567157.50
Marketing Research and Public Opinion Polling,ME,45,567149.90
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",MI,67,567141.50
Optical Instrument and Lens Manufacturing,GA,67,566958.20
Offices of Other Holding Companies,MT,88,566909.00
"Scenic and Sightseeing Transportation, Water",SC,77,566790.94
Industrial Mold Manufacturing,OK,62,566766.00
Other Chemical and Allied Products Merchant Wholesalers,WA,37,566739.23
Corrugated and Solid Fiber Box Manufacturing,NY,72,566718.70
Plate Work Manufacturing,WY,52,566663.50
Private Households,MA,36,566614.75
Confectionery and Nut Stores,AZ,151,566398.46
Nonchocolate Confectionery Manufacturing,IL,146,566341.30
Other Crushed and Broken Stone Mining and Quarrying,NY,54,566300.00
Outpatient Mental Health and Substance Abuse Centers,MT,115,566256.03
Fish and Seafood Markets,CT,79,566149.00
Miscellaneous Intermediation,DE,24,565970.00
Stationery and Office Supplies Merchant Wholesalers,AZ,73,565965.00
Administration of General Economic Programs,IL,40,565902.95
Cable and Other Subscription Programming,PA,70,565791.49
Telecommunications Resellers,AZ,53,565759.00
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",MS,102,565550.50
Other Nonhazardous Waste Treatment and Disposal,IN,53,565534.00
All Other Home Furnishings Stores,PR,145,565531.00
"Trusts, Estates, and Agency Accounts",IL,54,565524.50
Home Health Equipment Rental,NY,18,565488.00
Office Supplies (except Paper) Manufacturing,OH,64,565371.50
Pharmaceutical Preparation Manufacturing,MI,41,565370.77
Other Airport Operations,MA,65,565240.85
Finfish Fishing,HI,58,565224.00
Commercial Printing (except Screen and Books),AK,48,565087.54
Hotels (except Casino Hotels) and Motels,GU,162,565081.05
All Other Consumer Goods Rental,AR,79,564962.50
All Other Publishers,HI,45,564939.50
Other Chemical and Allied Products Merchant Wholesalers,IA,36,564922.45
News Syndicates,FL,293,564895.12
Geophysical Surveying and Mapping Services,MO,45,564868.52
Convention and Trade Show Organizers,OK,92,564813.00
Industrial and Personal Service Paper Merchant Wholesalers,LA,65,564771.67
Industrial Design Services,NJ,46,564669.32
Office Supplies and Stationery Stores,MD,76,564583.82
Recyclable Material Merchant Wholesalers,WV,96,564542.27
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,MN,43,564530.00
Collection Agencies,TN,74,564464.50
Assisted Living Facilities for the Elderly,VT,144,564380.00
All Other Nondepository Credit Intermediation,WI,68,564277.80
Hunting and Trapping,WY,124,564225.24
Document Preparation Services,CO,51,564217.45
Couriers and Express Delivery Services,SD,67,564049.00
Theater Companies and Dinner Theaters,AL,133,563834.20
"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",NC,41,563822.00
Other Building Finishing Contractors,AK,48,563728.70
Specialty (except Psychiatric and Substance Abuse) Hospitals,AZ,60,563657.32
Solar Electric Power Generation,MN,40,563655.52
Corrugated and Solid Fiber Box Manufacturing,GA,42,563586.95
Baked Goods Stores,NV,96,563538.63
Paper Bag and Coated and Treated Paper Manufacturing,NJ,44,563533.00
Support Activities for Forestry,MO,79,563479.70
Other Insurance Funds,IL,85,563412.02
"Motorcycle, Bicycle, and Parts Manufacturing",NC,34,563277.29
Farm Labor Contractors and Crew Leaders,NC,178,563219.50
Bottled Water Manufacturing,MA,37,563206.00
Offices of Dentists,VI,68,563157.32
Other Communications Equipment Manufacturing,IN,56,563138.50
Passenger Car Rental,IN,82,563092.00
Fire Protection,NV,91,563073.00
Exam Preparation and Tutoring,HI,235,563048.00
Art Dealers,MD,104,563032.87
Book Stores,UT,148,563027.94
Dental Laboratories,ME,53,562965.00
Cemeteries and Crematories,OR,74,562886.00
Residential Mental Health and Substance Abuse Facilities,NH,102,562859.72
Confectionery Manufacturing from Purchased Chocolate,MA,115,562844.33
Food Product Machinery Manufacturing,MD,46,562820.40
Home Furnishing Merchant Wholesalers,OK,77,562815.30
Diagnostic Imaging Centers,MA,49,562799.15
Animal (except Poultry) Slaughtering,KS,92,562681.86
Bottled Water Manufacturing,NJ,73,562640.50
Coin-Operated Laundries and Drycleaners,OR,107,562634.83
Direct Health and Medical Insurance Carriers,AR,53,562605.82
Building Inspection Services,KY,114,562552.36
Tire and Tube Merchant Wholesalers,NJ,70,562502.00
Automobile and Other Motor Vehicle Merchant Wholesalers,NM,64,562404.14
Nonchocolate Confectionery Manufacturing,NY,67,562294.43
Direct Health and Medical Insurance Carriers,CT,100,562243.00
Boat Building,MN,68,562181.00
Ornamental and Architectural Metal Work Manufacturing,CT,37,562122.35
Support Activities for Oil and Gas Operations,SD,65,562109.22
Convention and Trade Show Organizers,CT,54,562089.77
Grantmaking Foundations,ND,59,562062.00
Natural Gas Distribution,MS,67,561878.50
Specialty (except Psychiatric and Substance Abuse) Hospitals,IL,73,561869.00
Cable and Other Subscription Programming,NC,83,561811.00
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MT,62,561699.95
Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,NV,116,561506.00
Coin-Operated Laundries and Drycleaners,KS,143,561459.79
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",MA,72,561375.00
"Sawmill, Woodworking, and Paper Machinery Manufacturing",NY,58,561275.00
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",OK,123,561223.97
Other Aircraft Parts and Auxiliary Equipment Manufacturing,GA,57,561190.00
Printing and Writing Paper Merchant Wholesalers,MA,56,561174.80
Truck Trailer Manufacturing,AL,74,561007.82
Analytical Laboratory Instrument Manufacturing,FL,41,560933.00
Apparel Accessories and Other Apparel Manufacturing,VA,53,560786.00
Food Product Machinery Manufacturing,VA,111,560713.00
Wheat Farming,CA,44,560630.86
Prefabricated Metal Building and Component Manufacturing,NC,101,560529.00
Service Establishment Equipment and Supplies Merchant Wholesalers,NH,22,560517.50
Elevator and Moving Stairway Manufacturing,PA,32,560381.00
Remediation Services,ID,65,560347.70
Automotive Glass Replacement Shops,NH,46,560313.00
Exam Preparation and Tutoring,PR,279,560274.71
Special Needs Transportation,OR,115,560197.44
Collection Agencies,NE,45,560157.00
Saw Blade and Handtool Manufacturing,MO,60,560106.25
All Other Miscellaneous Food Manufacturing,ID,172,560085.59
Machine Tool Manufacturing,IA,83,560070.95
"Sewing, Needlework, and Piece Goods Stores",AZ,167,559894.39
Recreational Goods Rental,MD,169,559846.50
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",CA,98,559840.50
Services for the Elderly and Persons with Disabilities,RI,75,559794.84
Recreational Goods Rental,MO,145,559764.62
Other Direct Selling Establishments,WY,109,559672.06
Scheduled Passenger Air Transportation,NY,55,559669.61
Other Warehousing and Storage,IN,67,559657.50
Bowling Centers,AR,134,559654.84
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",AK,65,559566.98
Administration of General Economic Programs,IN,53,559515.09
Jewelry and Silverware Manufacturing,MI,58,559491.91
Residential Mental Health and Substance Abuse Facilities,SC,111,559442.00
Other Grocery and Related Products Merchant Wholesalers,SC,78,559385.18
Materials Recovery Facilities,OR,58,559358.17
Other Sound Recording Industries,VA,53,559283.00
Apparel Accessories and Other Apparel Manufacturing,NH,58,559222.00
Dental Equipment and Supplies Manufacturing,AZ,98,559155.75
"Corporate, Subsidiary, and Regional Managing Offices",CT,96,558947.25
Research and Development in Biotechnology (except Nanobiotechnology),AL,71,558934.90
Ready-Mix Concrete Manufacturing,MS,66,558813.35
Other Building Finishing Contractors,RI,48,558760.00
Offices of Other Holding Companies,NH,80,558736.00
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",VT,113,558728.00
"Roofing, Siding, and Insulation Material Merchant Wholesalers",SC,41,558650.50
Musical Instrument Manufacturing,IL,73,558632.50
Bus and Other Motor Vehicle Transit Systems,MN,158,558431.17
Outdoor Power Equipment Stores,KS,62,558425.50
Petroleum Bulk Stations and Terminals,CO,48,558362.00
Surgical Appliance and Supplies Manufacturing,NH,61,557994.50
Photographic and Photocopying Equipment Manufacturing,FL,43,557988.81
Meat Processed from Carcasses,OK,122,557922.74
Breweries,SD,98,557864.50
Appliance Repair and Maintenance,WV,67,557820.80
Other Support Activities for Road Transportation,CT,73,557817.72
Farm Management Services,TN,49,557760.82
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,WV,72,557694.00
"Showcase, Partition, Shelving, and Locker Manufacturing",WI,99,557605.00
Packaged Frozen Food Merchant Wholesalers,HI,78,557600.00
Men's Clothing Stores,MD,78,557484.19
Packaged Frozen Food Merchant Wholesalers,LA,113,557384.50
Other Engine Equipment Manufacturing,PA,40,557312.00
Wholesale Trade Agents and Brokers,ID,37,557291.99
All Other Information Services,OR,34,557110.50
Frozen Specialty Food Manufacturing,CO,48,556937.00
Other Performing Arts Companies,DC,26,556802.00
Commodity Contracts Brokerage,GA,17,556797.00
Casino Hotels,NY,143,556784.00
Open-End Investment Funds,VA,30,556776.50
Rolled Steel Shape Manufacturing,TX,75,556585.30
"Colleges, Universities, and Professional Schools",MD,132,556579.52
Current-Carrying Wiring Device Manufacturing,IL,44,556474.19
Direct Life Insurance Carriers,KS,58,556425.13
Charter Bus Industry,NV,55,556401.32
Local Messengers and Local Delivery,UT,76,556389.25
"Sewing, Needlework, and Piece Goods Stores",KS,162,556371.76
Other Electronic Parts and Equipment Merchant Wholesalers,LA,70,556336.98
All Other Leather Good and Allied Product Manufacturing,IL,61,556289.94
Other Electronic Parts and Equipment Merchant Wholesalers,IA,41,556268.02
Natural Gas Distribution,MA,50,556246.00
Wood Container and Pallet Manufacturing,CT,91,556228.00
Institutional Furniture Manufacturing,GA,37,556162.50
Perishable Prepared Food Manufacturing,TN,86,556129.87
Recreational and Vacation Camps (except Campgrounds),NM,128,556111.25
Confectionery and Nut Stores,ME,111,556052.50
Other Communications Equipment Manufacturing,MO,68,555920.79
Construction Sand and Gravel Mining,PR,141,555827.57
"Nursery, Garden Center, and Farm Supply Stores",WV,90,555824.72
Automobile and Other Motor Vehicle Merchant Wholesalers,SD,85,555709.42
Asphalt Paving Mixture and Block Manufacturing,OK,66,555662.00
Solid Waste Collection,MS,52,555543.12
Office Machinery and Equipment Rental and Leasing,KY,60,555526.50
Human Rights Organizations,OH,64,555516.25
Truck Trailer Manufacturing,AZ,71,555331.32
Wired Telecommunications Carriers,VA,54,555295.00
Child and Youth Services,DE,47,555289.29
Family Planning Centers,UT,128,555250.00
Audio and Video Equipment Manufacturing,CT,39,555238.00
Other Industrial Machinery Manufacturing,ME,73,555225.00
Appliance Repair and Maintenance,MT,74,555208.99
"Electroplating, Plating, Polishing, Anodizing, and Coloring",OK,79,555183.52
Freestanding Ambulatory Surgical and Emergency Centers,WY,66,555127.80
Siding Contractors,AL,97,555074.80
Forest Nurseries and Gathering of Forest Products,OR,32,555028.00
Hay Farming,GA,68,555022.62
Flight Training,MN,104,554939.00
Telecommunications Resellers,IA,44,554867.62
Stationery and Office Supplies Merchant Wholesalers,TN,60,554843.30
Biological Product (except Diagnostic) Manufacturing,NY,37,554830.00
Other Personal and Household Goods Repair and Maintenance,ND,87,554740.95
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,NM,76,554668.92
Reupholstery and Furniture Repair,LA,72,554540.21
Support Activities for Forestry,NH,55,554487.00
Plastics Plumbing Fixture Manufacturing,CA,49,554314.00
Public Finance Activities,PA,35,554027.12
Private Mail Centers,AZ,68,554021.20
"Sawmill, Woodworking, and Paper Machinery Manufacturing",VA,80,553948.27
General Automotive Repair,DC,58,553801.42
Apparel Accessories and Other Apparel Manufacturing,NV,118,553794.50
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",TN,80,553787.07
Directory and Mailing List Publishers,CA,66,553710.48
Cable and Other Subscription Programming,NY,51,553709.00
Adhesive Manufacturing,IL,56,553705.80
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",HI,59,553681.64
Vending Machine Operators,SD,54,553674.85
Offices of Other Holding Companies,WV,91,553665.00
Dental Laboratories,NE,47,553573.75
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",IL,111,553569.64
Paperboard Mills,CA,154,553510.00
Convention and Trade Show Organizers,UT,353,553442.65
Pet and Pet Supplies Stores,MT,115,553440.00
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,SD,76,553409.00
"Colleges, Universities, and Professional Schools",MN,49,553307.84
Other Miscellaneous Nondurable Goods Merchant Wholesalers,MT,59,553206.10
Finish Carpentry Contractors,WY,71,553174.39
Other Cut and Sew Apparel Manufacturing,NJ,64,552959.00
Bottled Water Manufacturing,MI,59,552859.00
Tobacco and Tobacco Product Merchant Wholesalers,SC,184,552766.00
Other Direct Selling Establishments,RI,55,552694.37
Musical Instrument and Supplies Stores,OK,119,552678.50
Other Cut and Sew Apparel Manufacturing,GA,81,552659.35
Custom Compounding of Purchased Resins,TX,99,552534.00
Drilling Oil and Gas Wells,NY,36,552492.50
Book Stores,NH,108,552262.00
Nursery and Tree Production,RI,61,552163.50
Other Waste Collection,KY,78,552113.98
Amusement and Theme Parks,AZ,88,552066.56
Drywall and Insulation Contractors,WV,109,552015.96
Packaging Machinery Manufacturing,MI,72,551975.48
Stationery and Office Supplies Merchant Wholesalers,VA,41,551937.15
Seafood Product Preparation and Packaging,VA,56,551670.00
Amusement Arcades,ID,145,551646.00
Printing Ink Manufacturing,NC,46,551590.00
Outpatient Mental Health and Substance Abuse Centers,WV,89,551511.70
Commodity Contracts Dealing,NJ,29,551480.00
Paint and Wallpaper Stores,TN,58,551425.67
All Other Consumer Goods Rental,NC,72,551403.79
Facilities Support Services,IN,42,551183.50
"Paint, Varnish, and Supplies Merchant Wholesalers",NJ,35,551157.15
"Colleges, Universities, and Professional Schools",AR,37,551156.22
Printing and Writing Paper Merchant Wholesalers,GA,44,551143.00
Shellfish Fishing,CT,8,551137.00
All Other Miscellaneous Chemical Product and Preparation Manufacturing,CO,32,551128.00
Custom Computer Programming Services,WV,52,551101.52
Relay and Industrial Control Manufacturing,IL,39,551072.65
Other Chemical and Allied Products Merchant Wholesalers,NE,32,551071.17
Cable and Other Subscription Programming,VA,45,551041.76
Direct Mail Advertising,WA,50,551029.25
Car Washes,AK,85,550943.33
Other Gasoline Stations,WV,102,550790.15
Other Gasoline Stations,NH,84,550747.00
Dog and Cat Food Manufacturing,AL,57,550717.71
Outpatient Mental Health and Substance Abuse Centers,WY,82,550659.95
Construction Machinery Manufacturing,IA,69,550657.80
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",WI,49,550587.00
Private Mail Centers,MO,74,550584.33
Parking Lots and Garages,SC,91,550536.97
Other Concrete Product Manufacturing,ID,48,550492.54
Jewelry and Silverware Manufacturing,AZ,66,550209.57
Floriculture Production,CT,68,550146.00
Historical Sites,NC,117,550109.00
Shellfish Farming,ME,91,550081.96
"Frozen Fruit, Juice, and Vegetable Manufacturing",TX,203,550078.50
Beer and Ale Merchant Wholesalers,MD,75,550015.00
Investment Banking and Securities Dealing,AL,46,550003.50
Marinas,VT,83,550000.00
Wired Telecommunications Carriers,KS,35,549866.97
Natural Gas Extraction,FL,42,549763.27
Forest Nurseries and Gathering of Forest Products,MO,74,549660.00
"Sawmill, Woodworking, and Paper Machinery Manufacturing",MI,51,549586.75
Ready-Mix Concrete Manufacturing,WY,50,549574.50
Office Machinery and Equipment Rental and Leasing,NC,59,549539.00
International Trade Financing,NJ,41,549515.00
Other Warehousing and Storage,CO,82,549493.71
Food (Health) Supplement Stores,KS,113,549450.60
Stationery and Office Supplies Merchant Wholesalers,WI,58,549445.00
Hay Farming,NE,62,549400.76
Farm Product Warehousing and Storage,MS,53,549313.67
