category,state,jobs_retained,total_loan_amount
Offices of Physicians (except Mental Health Specialists),TN,6719,77539592.22
Other Activities Related to Real Estate,TX,7843,76899117.44
"Plumbing, Heating, and Air-Conditioning Contractors",IL,7407,76841633.98
All Other Specialty Trade Contractors,NY,8706,76807262.66
Residential Property Managers,CA,8182,76804849.83
Administrative Management and General Management Consulting Services,FL,6583,76684355.41
Offices of Real Estate Agents and Brokers,IL,8740,76436580.02
"Automotive Body, Paint, and Interior Repair and Maintenance",CA,8458,76434481.41
Office Administrative Services,CA,10787,76105926.51
Limited-Service Restaurants,NC,19293,75701805.79
Religious Organizations,NJ,11821,75145003.77
Full-Service Restaurants,KY,22548,75029760.22
Other Management Consulting Services,NY,6586,74986282.97
Offices of Dentists,MN,6601,74849417.85
Offices of Lawyers,WA,4923,74742946.72
Landscaping Services,TX,11925,74721914.71
Commercial and Institutional Building Construction,NY,6662,74149801.28
Child Day Care Services,NY,12599,74146873.26
Offices of Dentists,SC,7223,73429983.82
Nail Salons,CA,22377,73015793.70
Religious Organizations,WI,12990,72949419.61
Engineering Services,TX,7666,72474575.18
Offices of Dentists,WI,6707,72439740.91
All Other Business Support Services,NC,2733,71894701.19
Religious Organizations,IN,13449,71821826.68
Offices of Chiropractors,CA,10264,71624139.04
Veterinary Services,CA,8135,71435021.80
All Other Miscellaneous Ambulatory Health Care Services,CA,9570,71199025.40
Supermarkets and Other Grocery (except Convenience) Stores,NY,13487,70745957.53
Landscaping Services,NY,9870,70555661.65
Offices of Real Estate Agents and Brokers,CO,5427,70373521.73
Offices of Lawyers,MO,5898,70356181.79
Offices of Dentists,LA,7089,69993672.13
New Single-Family Housing Construction (except For-Sale Builders),WA,5232,69497878.11
Corn Farming,IL,9059,69467420.18
Offices of Lawyers,CO,4743,69268374.92
Hotels (except Casino Hotels) and Motels,NY,11628,69239344.65
Insurance Agencies and Brokerages,MI,7059,69112726.95
"Plumbing, Heating, and Air-Conditioning Contractors",MA,5990,68831332.28
All Other Support Services,FL,9672,68390320.58
Engineering Services,FL,6028,68231955.95
Full-Service Restaurants,IA,20952,68118416.43
Religious Organizations,TN,10529,68096341.06
"Plumbing, Heating, and Air-Conditioning Contractors",NJ,6026,68046396.21
Offices of Real Estate Agents and Brokers,PA,5955,67984526.19
Drinking Places (Alcoholic Beverages),CA,15463,67946071.63
Residential Remodelers,TX,7765,67684933.33
Software Publishers,CA,4572,67523417.65
Dairy Cattle and Milk Production,WI,11719,67502927.50
Computer Systems Design Services,CA,5911,67408520.69
Offices of Dentists,UT,13981,67379900.18
Offices of Lawyers,MD,4987,66927140.47
Architectural Services,NY,4417,66835582.05
Offices of Dentists,AL,7108,66578917.69
Offices of Real Estate Agents and Brokers,GA,6034,66472081.28
All Other Business Support Services,FL,9819,66094433.65
Child Day Care Services,PA,12379,66009038.26
Religious Organizations,MA,9730,65994196.12
Veterinary Services,FL,7982,65683331.04
Landscaping Services,MA,7336,65356604.10
Offices of Lawyers,SC,5601,65323133.42
Veterinary Services,TX,8585,64400659.71
Beauty Salons,PA,10007,64331488.05
Religious Organizations,MO,13209,63664008.94
Offices of Lawyers,CT,4513,63092034.11
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",CA,7149,63054836.65
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",NY,6196,62928870.41
Offices of Optometrists,TX,7749,62823530.55
Painting and Wall Covering Contractors,CA,8475,62691407.72
Corn Farming,IA,8131,62686717.58
Offices of Physicians (except Mental Health Specialists),PR,8542,62682441.71
Limited-Service Restaurants,VA,14032,62578542.15
Offices of Lawyers,TN,5544,62535869.33
Insurance Agencies and Brokerages,NC,5581,62310693.71
Offices of Lawyers,AZ,7024,62298617.96
Hotels (except Casino Hotels) and Motels,GA,14037,62297955.85
"Plumbing, Heating, and Air-Conditioning Contractors",OH,6732,62285437.40
Drinking Places (Alcoholic Beverages),TX,17580,62220003.57
Other Miscellaneous Durable Goods Merchant Wholesalers,CA,6603,62168900.13
Full-Service Restaurants,AR,15379,62070701.61
Hotels (except Casino Hotels) and Motels,NC,12461,62064292.93
Offices of Dentists,CT,5779,61551638.91
Child Day Care Services,IL,12152,61363923.17
Landscaping Services,PA,8077,61094738.03
Supermarkets and Other Grocery (except Convenience) Stores,CA,13088,60848940.54
Offices of Physicians (except Mental Health Specialists),MA,4449,60834710.53
Janitorial Services,FL,11171,60796040.21
Limited-Service Restaurants,TN,16195,60262460.70
Offices of Dentists,OK,6056,60244034.38
Janitorial Services,CA,10437,60237506.96
Pharmacies and Drug Stores,CA,7081,59989176.12
Offices of Lawyers,AL,5293,58879931.46
"Offices of Physicians, Mental Health Specialists",CA,5487,58394533.89
Offices of Real Estate Agents and Brokers,NJ,5772,58265379.32
General Automotive Repair,MI,6262,57693914.95
Lessors of Nonresidential Buildings (except Miniwarehouses),CA,8047,57649602.65
All Other Miscellaneous Store Retailers (except Tobacco Stores),GA,8516,57634284.54
Beauty Salons,IL,10554,57596495.98
All Other Business Support Services,TX,11069,57476096.70
Snack and Nonalcoholic Beverage Bars,CA,15217,57454844.90
Tax Preparation Services,CA,8451,57295291.26
Limited-Service Restaurants,WA,10470,57210272.70
Residential Remodelers,PA,5418,57066003.83
Religious Organizations,MD,9257,56910132.12
"Plumbing, Heating, and Air-Conditioning Contractors",MI,5280,56728119.58
Religious Organizations,AL,11136,56632168.46
Offices of Chiropractors,FL,6699,56596748.53
Office Administrative Services,FL,5862,56536421.58
Offices of Physicians (except Mental Health Specialists),OK,5383,56493954.24
Fitness and Recreational Sports Centers,TX,15303,56412295.20
Lessors of Residential Buildings and Dwellings,NY,5919,56213162.90
Offices of All Other Miscellaneous Health Practitioners,FL,6731,56196562.76
Offices of Physicians (except Mental Health Specialists),CO,4959,56017412.91
Electrical Contractors and Other Wiring Installation Contractors,MA,4518,55879929.88
All Other Support Services,TX,9350,55870563.83
Custom Computer Programming Services,TX,5219,55868692.72
Full-Service Restaurants,MS,16300,55752881.79
All Other Miscellaneous Store Retailers (except Tobacco Stores),IL,8738,55509128.89
"All Other Professional, Scientific, and Technical Services",GA,5710,55415087.72
Offices of Real Estate Agents and Brokers,NC,6098,55358694.82
Offices of Real Estate Agents and Brokers,MA,4472,55221747.67
"General Freight Trucking, Long-Distance, Truckload",TX,6065,55167921.49
All Other Miscellaneous Store Retailers (except Tobacco Stores),PA,6941,55103453.47
Marketing Consulting Services,FL,5582,55084626.73
Other Activities Related to Real Estate,NY,3344,55000963.53
Residential Property Managers,FL,5872,54960905.64
General Automotive Repair,OH,6387,54833415.73
Offices of Dentists,KY,5993,54819123.32
Offices of Chiropractors,TX,7545,54810737.46
Lessors of Residential Buildings and Dwellings,CA,6237,54803949.38
Child Day Care Services,NJ,9265,54567071.89
All Other Personal Services,GA,4743,54565026.30
Freight Transportation Arrangement,CA,6270,54560883.56
Home Health Care Services,FL,11039,54392523.01
"Plumbing, Heating, and Air-Conditioning Contractors",GA,5811,54320626.62
Offices of Real Estate Agents and Brokers,WA,3687,54227870.43
Offices of Real Estate Agents and Brokers,VA,3821,54189779.85
Beauty Salons,NJ,9792,54182760.85
Educational Support Services,CA,7929,54180984.90
Religious Organizations,WA,7253,54170824.78
Fitness and Recreational Sports Centers,NY,11304,53989142.88
Offices of All Other Miscellaneous Health Practitioners,TX,7698,53967368.05
Insurance Agencies and Brokerages,NJ,4128,53863281.86
"Plumbing, Heating, and Air-Conditioning Contractors",NC,5615,53754972.30
New Single-Family Housing Construction (except For-Sale Builders),IL,5286,53715478.39
Insurance Agencies and Brokerages,MO,6015,53592699.86
Offices of Real Estate Agents and Brokers,TN,4327,53448541.92
Limited-Service Restaurants,MD,12409,53421841.99
Landscaping Services,OH,8561,53336936.67
Insurance Agencies and Brokerages,MN,5240,53325466.45
Commercial Printing (except Screen and Books),CA,6365,53106466.45
All Other Miscellaneous Store Retailers (except Tobacco Stores),AZ,7909,53104890.96
All Other Miscellaneous Schools and Instruction,CA,9307,53095732.23
Other Accounting Services,FL,6490,52822256.03
"General Freight Trucking, Local",NY,4734,52518530.52
Limited-Service Restaurants,IN,15271,52498996.87
New Single-Family Housing Construction (except For-Sale Builders),MI,5207,52370736.32
Hotels (except Casino Hotels) and Motels,VA,7759,52370278.64
New Single-Family Housing Construction (except For-Sale Builders),MA,3993,52335839.13
General Automotive Repair,MA,4706,52265597.98
Religious Organizations,SC,10184,52139050.37
Child Day Care Services,GA,11367,52105541.96
Full-Service Restaurants,NV,12813,52011818.79
Offices of Lawyers,IN,4658,51935749.77
New Single-Family Housing Construction (except For-Sale Builders),NC,5356,51929931.24
Landscaping Services,MI,8400,51824239.43
General Automotive Repair,VA,4491,51767408.85
Used Car Dealers,TX,6802,51750182.21
Fitness and Recreational Sports Centers,FL,11116,51624381.96
Other Miscellaneous Nondurable Goods Merchant Wholesalers,CA,6820,51573207.29
"All Other Professional, Scientific, and Technical Services",IL,5127,51502747.68
Landscaping Services,NJ,6461,51457286.37
Office Administrative Services,TX,7836,51217424.45
Drinking Places (Alcoholic Beverages),NY,11248,51075291.04
Electrical Contractors and Other Wiring Installation Contractors,NJ,4906,51033179.87
Child Day Care Services,OH,12092,50907246.54
Offices of Lawyers,OK,4939,50771127.27
Insurance Agencies and Brokerages,TN,4327,50761879.11
General Automotive Repair,GA,5795,50600751.65
Religious Organizations,CO,8426,50597943.97
All Other Support Services,NY,6274,50574998.32
"General Freight Trucking, Local",OH,5146,50571314.25
"General Freight Trucking, Local",GA,4021,50227759.64
Offices of Lawyers,MN,4178,50174215.95
Other Accounting Services,TX,5944,50152752.93
Marketing Consulting Services,NY,4314,50107114.97
New Single-Family Housing Construction (except For-Sale Builders),PA,4248,50087646.38
Marketing Consulting Services,TX,5646,50044690.98
Offices of Real Estate Agents and Brokers,OH,5583,49967368.69
Offices of Dentists,KS,4488,49813446.50
Full-Service Restaurants,KS,14897,49585002.79
Landscaping Services,IL,8327,49577812.94
Hotels (except Casino Hotels) and Motels,TN,9035,49513447.79
Residential Property Managers,NY,4191,49407877.34
Insurance Agencies and Brokerages,VA,3477,49217387.26
All Other Miscellaneous Store Retailers (except Tobacco Stores),NC,7950,49171850.46
Lessors of Residential Buildings and Dwellings,TX,6834,49156795.20
All Other Specialty Trade Contractors,PA,5230,48880075.48
Custom Computer Programming Services,NY,3346,48731722.08
Insurance Agencies and Brokerages,LA,4739,48662894.63
Pharmacies and Drug Stores,TX,5569,48550753.98
"Automotive Body, Paint, and Interior Repair and Maintenance",TX,5229,48534167.89
Residential Remodelers,IL,5671,48463542.83
Offices of Real Estate Agents and Brokers,AZ,5846,48345655.06
